id,name_de,sort_index_de,name@de,sortIndex@de
9481,Übrige Opportunistische Anlagen-Fonds,139,Übrige Opportunistische Anlagen-Fonds,139
9482,Übrige Strukturierte Produkte mit Opportunistische Anlagen-Charakter,140,Übrige Strukturierte Produkte mit Opportunistische Anlagen-Charakter,140
9483,Übrige Derivative Opportunistische Anlagen-Instrumente,141,Übrige Derivative Opportunistische Anlagen-Instrumente,141
9510,Übrige Direktanlagen,142,Übrige Direktanlagen,142
9520,Übrige Immobilienfonds,143,Übrige Immobilienfonds,143
9530,Übrige Strukturierte Produkte mit Immobiliencharakter,144,Übrige Strukturierte Produkte mit Immobiliencharakter,144
9540,Übrige Derivative Immobilieninstrumente,145,Übrige Derivative Immobilieninstrumente,145
9719,Übrige Derivate Finanzinstrumente - Liquidität unterliegend,146,Übrige Derivate Finanzinstrumente - Liquidität unterliegend,146
9729,Übrige Derivate Finanzinstrumente - Obligationen unterliegend,147,Übrige Derivate Finanzinstrumente - Obligationen unterliegend,147
9739,Übrige Derivate Finanzinstrumente - Aktien unterliegend,148,Übrige Derivate Finanzinstrumente - Aktien unterliegend,148
9749,Übrige Derivate Finanzinstrumente - Alternative Anlagen unterliegend,149,Übrige Derivate Finanzinstrumente - Alternative Anlagen unterliegend,149
9759,Übrige Derivate Finanzinstrumente - Immobilien unterliegend,150,Übrige Derivate Finanzinstrumente - Immobilien unterliegend,150
9769,Übrige Derivate Finanzinstrumente - Rohstoffe unterliegend,151,Übrige Derivate Finanzinstrumente - Rohstoffe unterliegend,151
9779,Übrige Derivate Finanzinstrumente - Diverses unterliegend,152,Übrige Derivate Finanzinstrumente - Diverses unterliegend,152
9819,Übrige Diverse Einzelanlagen,153,Übrige Diverse Einzelanlagen,153
9829,Übrige Diverse Investment Fonds,154,Übrige Diverse Investment Fonds,154
9839,Übrige Diverse Strukturierte Produkte,155,Übrige Diverse Strukturierte Produkte,155
9849,Übrige Diverse Derivative Instrumente,156,Übrige Diverse Derivative Instrumente,156
9907,Übrige BOL manuell hinzugefügt,157,Übrige BOL manuell hinzugefügt,157
9991,Anlagegruppe SWC AST,158,Anlagegruppe SWC AST,158
9998,Depot,159,Depot,159
9999,Undefiniert,160,Undefiniert,160
